Country IQ Income Expenditure Temperature Length Body Percentage Volume BMI M_Height M_Weight M_BMI F_Height F_Weight F_BMI Stability Rights Health Security Climate Costs Popularity Total code2 code3
1 Singapore 108 25407 905 31.5 11.53 172 6.7 126 23.2 1.72 71.9 24.3 1.6 59.4 23.2 92 89 71 100 41 49 91 75 SG SGP
2 South_Korea 106 13710 520 18.2 9.66 174 5.55 146 23.1 1.74 73.9 24.4 1.62 60.6 23.1 75 77 90 100 53 43 70 73 KR KOR
3 Japan 105 36785 1242 19.8 10.92 171 6.39 179 21.9 1.71 69 23.6 1.58 54.7 21.9 90 98 91 99 52 26 72 76 JP JPN
4 Switzerland 102 49994 2465 12.7 14.35 178 8.06 359 23.8 1.78 84.9 26.8 1.64 64 23.8 97 100 94 100 25 47 67 77 CH CHE
5 Netherlands 102 33383 1681 14.3 15.87 183 8.67 801 25.3 1.83 87.4 26.1 1.69 72.3 25.3 86 100 90 100 20 40 82 74 NL NLD
6 Finland 101 31424 1985 8 13.77 180 7.65 614 25.7 1.8 86.2 26.6 1.66 70.8 25.7 87 100 92 98 15 43 53 72 FI FIN
7 Canada 101 27545 1654 7.4 13.92 178 7.82 1194 26.7 1.78 86.8 27.4 1.64 71.8 26.7 89 100 76 95 31 40 85 73 CA CAN
8 Belgium 100 30760 1683 14.5 14.77 181 8.16 268 25.7 1.81 87.8 26.8 1.65 70 25.7 69 97 93 91 20 27 65 67 BE BEL
9 Germany 100 30918 1386 13.5 14.52 180 8.07 620 26 1.8 88.8 27.4 1.66 71.6 26 81 100 97 93 21 45 87 75 DE DEU
10 United_Kingdom 100 30889 1441 12.8 13.97 178 7.85 879 27.1 1.78 86.8 27.4 1.64 72.9 27.1 68 100 77 84 7 36 73 64 GB GBR
11 Austria 100 32004 1762 13 14.53 178 8.16 389 24.7 1.78 84.3 26.6 1.65 67.2 24.7 84 100 98 100 26 36 96 76 AT AUT
12 New_Zealand 100 18703 1283 17.5 13.99 178 7.86 640 28 1.78 89.3 28.2 1.65 76.2 28 92 100 77 99 40 27 40 70 NZ NZL
13 Norway 99 48271 3527 9 14.34 180 7.97 638 26.2 1.8 88.8 27.4 1.66 72.2 26.2 94 100 87 100 15 44 62 73 NO NOR
14 Sweden 99 36415 2334 9.4 15.08 180 8.38 599 25.4 1.8 86.8 26.8 1.66 70 25.4 86 100 84 97 18 39 76 72 SE SWE
15 Denmark 99 39129 3127 12 14.88 181 8.22 574 24.6 1.81 86.2 26.3 1.68 69.4 24.6 87 100 85 99 14 37 68 71 DK DNK
16 Australia 99 25647 1385 24.4 13.31 179 7.44 652 26.8 1.79 88.8 27.7 1.65 73 26.8 85 100 88 97 90 25 66 79 AU AUS
17 France 98 29584 1601 16.5 15.74 179 8.8 154 24.4 1.79 83.3 26 1.65 66.4 24.4 66 94 96 71 40 29 73 67 FR FRA
18 Hungary 98 7404 391 16.1 14.99 177 8.47 388 26.6 1.77 88.3 28.2 1.64 71.5 26.6 78 60 81 96 40 59 59 69 HU HUN
19 Italy 97 25872 1170 18.2 15.35 177 8.67 189 24.9 1.77 83.6 26.7 1.64 67 24.9 60 67 87 99 55 32 94 69 IT ITA
20 Latvia 97 6954 333 10.7 14.69 181 8.12 376 26.4 1.81 88.8 27.1 1.69 75.4 26.4 70 78 77 93 19 64 8 63 LV LVA
21 Spain 97 19834 885 21 13.85 176 7.87 489 25.1 1.76 84.3 27.2 1.63 66.7 25.1 55 78 86 97 74 37 87 73 ES ESP
22 Poland 97 6112 298 13.1 14.29 177 8.07 968 26.1 1.77 85.8 27.4 1.64 70.2 26.1 76 74 80 100 25 67 69 71 PL POL
23 Russia 96 4103 157 8.6 13.21 176 7.51 359 26.7 1.76 80.2 25.9 1.65 72.7 26.7 50 17 76 46 27 64 87 50 RU RUS
